memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,3385218,0.027231,3731608,3446260,86.0
128,cold,True,3413294,0.022922,3737782,3443330,86.0
128,cold,True,3255101,0.030093,3750636,3293850,86.0
128,cold,True,3573061,0.029106,3861626,3619780,86.0
128,cold,True,3457298,0.028119,3778320,3488660,86.0
128,cold,True,3146145,0.029226,3572334,3189190,86.0
128,cold,True,3106066,0.03438,3570271,3145210,86.0
128,cold,True,3375055,0.031467,3675990,3425010,86.0
128,cold,True,3230602,0.032836,3529063,3250330,86.0
128,cold,True,3221275,0.027005,3490697,3256020,86.0
128,cold,True,3442770,0.036878,3977736,3504420,86.0
128,cold,True,3491273,0.0261,3791399,3530920,86.0
128,cold,True,3523099,0.024869,3894431,3542650,86.0
128,cold,True,3482666,0.035646,3839756,3502300,86.0
128,cold,True,3107005,0.027206,3491215,3109060,86.0
128,cold,True,3302484,0.030438,3619736,3342780,86.0
128,cold,True,3264255,0.030464,3541699,3310970,86.0
128,cold,True,3178996,0.037069,3521182,3186580,86.0
128,cold,True,3279845,0.03868,3750134,3307390,86.0
128,cold,True,3425573,0.036852,3774823,3468200,86.0
128,cold,True,3400749,0.035097,3748888,3444120,86.0
128,cold,True,3469918,0.03262,3786526,3505820,86.0
128,cold,True,3390339,0.039609,3774959,3430030,86.0
128,cold,True,3361431,0.029781,3688802,3400200,86.0
128,cold,True,3187314,0.035769,3520153,3222400,86.0
128,cold,True,3507006,0.035952,3840516,3527250,86.0
128,cold,True,3401127,0.036332,3722318,3440250,86.0
128,cold,True,3393933,0.027926,3733230,3432840,86.0
128,cold,True,3159418,0.027169,3494457,3161830,86.0
128,cold,True,3464739,0.028213,3786270,3515530,86.0
128,cold,True,3455523,0.035285,3800599,3494000,86.0
128,cold,True,3425902,0.026529,3724503,3455920,86.0
128,cold,True,3270117,0.035318,3564296,3309650,86.0
128,cold,True,3393393,0.029489,3749461,3396750,86.0
128,cold,True,3355935,0.034191,3750135,3358500,86.0
128,cold,True,3254053,0.027542,3563415,3284580,86.0
128,cold,True,3424584,0.035752,3751110,3444940,86.0
