memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,1105,0.025734,382325,8580,40.0
128,cold,True,990,0.03934,377060,2400,40.0
128,cold,True,1400,0.027791,414400,8630,40.0
128,cold,True,1187,0.034893,339681,18680,40.0
128,cold,True,1212,0.028294,379319,12620,40.0
128,cold,True,1127,0.035089,379769,14310,40.0
128,cold,True,1126,0.041158,414181,14430,40.0
128,cold,True,2428,0.040609,362777,16480,40.0
128,cold,True,1199,0.036845,356817,15400,39.0
128,cold,True,1223,0.033605,377082,2890,40.0
128,cold,True,956,0.024411,378469,16570,40.0
128,cold,True,1197,0.033852,379710,6690,40.0
128,cold,True,3898,0.033357,390916,7230,39.0
128,cold,True,1053,0.038031,377996,6750,39.0
128,cold,True,2263,0.037008,345546,3600,39.0
128,cold,True,1135,0.03447,381732,19850,40.0
128,cold,True,1070,0.028682,347144,2410,39.0
128,cold,True,1070,0.039828,414813,3670,40.0
128,cold,True,1967,0.029506,326888,10630,40.0
128,cold,True,1097,0.042004,369897,12560,40.0
128,cold,True,1117,0.038231,377779,15710,40.0
128,cold,True,1109,0.029578,352370,5680,40.0
128,cold,True,1125,0.035395,392189,15660,40.0
128,cold,True,4564,0.036087,375448,8140,40.0
128,cold,True,985,0.027898,344810,10790,40.0
128,cold,True,1052,0.034777,377273,3320,40.0
128,cold,True,9071,0.027898,415848,10400,40.0
128,cold,True,1013,0.034591,414448,4130,40.0
128,cold,True,1167,0.031625,380385,18370,40.0
128,cold,True,1070,0.040218,415954,14460,40.0
128,cold,True,1157,0.038431,377299,2560,39.0
128,cold,True,959,0.040947,345586,15650,40.0
128,cold,True,1093,0.037343,347522,13130,40.0
128,cold,True,982,0.027495,411950,33630,40.0
128,cold,True,1104,0.03542,413372,12730,39.0
128,cold,True,8943,0.035813,329005,11380,40.0
128,cold,True,1184,0.035395,350758,6650,40.0
128,cold,True,11907,0.043499,415748,14470,40.0
128,cold,True,909,0.034433,378175,1880,40.0
128,cold,True,1090,0.029605,355156,2400,39.0
128,cold,True,1111,0.03563,359539,14240,40.0
128,cold,True,1024,0.033872,382588,15260,40.0
128,cold,True,1246,0.03278,378393,14460,40.0
128,cold,True,1054,0.027888,378574,2310,39.0
128,cold,True,1211,0.033762,379682,11040,40.0
128,cold,True,1099,0.038518,414656,3990,40.0
128,cold,True,986,0.031173,377392,16830,40.0
128,cold,True,907,0.04399,348030,8890,40.0
128,cold,True,1143,0.035558,352525,2440,39.0
128,cold,True,2227,0.041096,388366,3690,40.0
2048,cold,True,2073,0.022065,423987,4540,40.0
2048,cold,True,1285,0.028961,332307,2690,40.0
2048,cold,True,1081,0.036059,331737,3440,40.0
2048,cold,True,958,0.030851,372037,3280,40.0
2048,cold,True,999,0.031657,371895,3380,40.0
2048,cold,True,1035,0.029973,372937,3220,40.0
2048,cold,True,1044,0.029319,352424,2310,39.0
2048,cold,True,1285,0.040861,337410,2680,39.0
2048,cold,True,1106,0.027906,322170,2570,40.0
2048,cold,True,1094,0.034471,363518,2500,39.0
2048,cold,True,1053,0.037442,422579,3650,40.0
2048,cold,True,1200,0.021543,423280,3020,40.0
2048,cold,True,1125,0.0322,345520,4510,39.0
2048,cold,True,1145,0.035355,350957,3610,40.0
2048,cold,True,1064,0.031546,325843,2400,39.0
2048,cold,True,1183,0.02843,421979,3670,40.0
2048,cold,True,1123,0.044183,372947,2450,40.0
2048,cold,True,1197,0.027272,325227,3010,40.0
2048,cold,True,985,0.042608,352548,2900,40.0
2048,cold,True,950,0.02209,325574,2980,40.0
2048,cold,True,1101,0.040685,372513,2510,39.0
2048,cold,True,3377,0.041545,368492,12550,40.0
2048,cold,True,1125,0.042284,355411,10580,40.0
2048,cold,True,1179,0.022823,325812,2830,40.0
2048,cold,True,984,0.043859,371703,2410,39.0
2048,cold,True,1017,0.031647,372075,2280,39.0
2048,cold,True,974,0.031893,325629,2050,39.0
2048,cold,True,1113,0.02673,322838,2470,40.0
2048,cold,True,1345,0.044239,342048,4290,40.0
2048,cold,True,2052,0.048609,370831,3670,40.0
2048,cold,True,1087,0.028016,325980,2330,39.0
2048,cold,True,1010,0.040429,373100,2250,40.0
2048,cold,True,1170,0.036547,353870,3600,40.0
2048,cold,True,1001,0.031676,423527,2500,39.0
2048,cold,True,1066,0.028964,354659,3360,40.0
2048,cold,True,984,0.037569,353843,2160,39.0
2048,cold,True,1180,0.021657,422799,3630,40.0
2048,cold,True,1226,0.038682,360141,2640,39.0
2048,cold,True,1095,0.034064,340843,2460,39.0
2048,cold,True,1372,0.032667,422172,3120,40.0
2048,cold,True,983,0.047703,372124,3270,40.0
2048,cold,True,1032,0.029151,355775,2350,40.0
2048,cold,True,1064,0.021749,325508,3650,40.0
2048,cold,True,1154,0.021955,422991,3700,40.0
2048,cold,True,1183,0.040714,344157,4010,40.0
2048,cold,True,1154,0.030283,422900,2300,39.0
2048,cold,True,1093,0.031881,422914,2830,40.0
2048,cold,True,1035,0.028797,325246,3360,40.0
2048,cold,True,1135,0.030746,353510,2470,40.0
2048,cold,True,1052,0.034958,354534,3210,40.0
512,warm,False,116,0.047382,66217,1080,40.0
512,warm,False,117,0.038008,59128,1020,40.0
512,warm,False,110,0.043086,64887,1810,41.0
512,warm,False,114,0.039929,58940,1080,40.0
512,warm,False,136,0.046554,67678,970,41.0
512,warm,False,102,0.040813,58360,1510,41.0
512,warm,False,139,0.034698,54314,1070,40.0
512,warm,False,105,0.03343,53519,870,41.0
512,warm,False,111,0.048727,90470,1660,41.0
